"player_summoner_id";"total_matches";"total_wins";"total_losses";"win_rate";"Lulu";"Ashe";"Karma";"Khazix";"Leblanc";"Zed";"Pantheon";"MissFortune";"Aphelios";"MasterYi";"Seraphine";"Lux";"Jhin";"Ekko";"Vayne";"LeeSin";"Lucian";"Sylas";"Riven";"Ezreal";"Kaisa";"Caitlyn";"Fiora";"XinZhao";"Sona";"Syndra";"Graves";"Qiyana";"Belveth";"KSante";"Draven";"Sejuani";"Rengar";"Azir";"Swain";"Zyra";"Twitch";"Kayn";"Trundle";"Hecarim";"Samira";"Jayce";"Xayah";"Shaco";"Rell";"Chogath";"Rumble";"Jax";"Kennen";"Vi";"Nocturne";"Yone";"Tristana";"Katarina";"TwistedFate";"Lissandra";"Malphite";"Singed";"Gangplank";"Gragas";"Yorick";"Senna";"Galio";"RekSai";"Elise";"JarvanIV";"Diana";"Morgana";"Aatrox";"Soraka";"Lillia";"Viego";"Nautilus";"Poppy";"Teemo";"Ornn";"Thresh";"Taric";"Volibear";"Fizz";"Darius";"Mordekaiser";"Akali";"Varus";"Kalista";"Brand";"Urgot";"Renekton";"Briar";"Pyke";"Ahri";"KogMaw";"Kindred";"Xerath";"Udyr";"Veigar";"Leona";"Nami";"Evelynn";"Yuumi";"Alistar";"Nilah";"Illaoi";"Heimerdinger";"Kassadin";"Hwei";"Milio";"Blitzcrank";"Anivia";"Olaf";"Corki";"Akshan";"FiddleSticks";"Rakan";"Orianna";"Sivir";"Maokai";"Ivern";"Janna";"Naafiri";"Yasuo";"Nasus";"DrMundo";"Smolder";"Irelia";"Neeko";"Renata";"Sett";"Jinx";"Viktor";"Zeri";"Ziggs";"Shyvana";"Annie";"Malzahar";"Vladimir";"Camille";"Zilean";"Karthus";"Taliyah";"Ryze";"Shen";"Braum";"Zac";"MonkeyKing";"Nidalee";"Rammus";"Sion";"Kled";"Vex";"Gwen";"AurelionSol";"Quinn";"Gnar";"Amumu";"Garen";"Kayle";"Bard";"Nunu";"Talon";"Cassiopeia";"Skarner";"Tryndamere";"Velkoz";"TahmKench";"Zoe";"Warwick";"Aurora";"Ambessa"
-DrKgno4wmUW_cYuXAFOY4SYEKcodHNgLWx899SJFFKO6xA;60;34;26;0.5667;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-Hxd482cYg7cqwrAVaWDg7k4bWofFJ39jdXvQOaLw1pPCBE;44;24;20;0.5455;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
-lFV00vsWZHmCXUkCYWusNTtgH8RFK2jHg0oi5V_ME2PnA;64;27;37;0.4219;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-m2yOCkbHezwgb2ULNpZlnCy0J3rU-9EaNlTzbVx-cspikE;43;18;25;0.4186;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
-NYj6GlQ3CRVT52ZMr4e8qOqmbmEHZ7k9woBGBNFjVGuFug;49;23;26;0.4694;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
-oOxOlw3HgnwUl4MHSDMtJncAqH09UR76O_zlLsvdnHxNTw;62;19;43;0.3065;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
-pmX7Sr4iY3TAiJzmCVcyx58ha3mRUY0Wk1v4DA1Xe1__so;47;28;19;0.5957;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-rMt3Glhj6--0IoyVihOK_pFOYvlXiQ0cKVlakkKLqjQjRQ;40;21;19;0.525;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-ufwkDA9lX2w1nE9mU_D5RgCSFOYdd0r1hsYdiyea5FHrb4;64;34;30;0.5313;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-vJlqvTJvtNaaArW6DdIQ6MjnNY7yE9coJIk7GBOmDLYAw;63;27;36;0.4286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
