leagueId,queueType,tier,rank,summonerId,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0a0a2681-b685-41f5-bc3b-d43f029a9a8b,RANKED_SOLO_5x5,DIAMOND,IV,Nu4OVhP1Xgv6IUq8rxczZlisXYy7stzdbJ1A4LChPcD-cbM,3faKxhUIXtbJXqWNLkpzryr3XFvc7FFIHzyQEHDnoofGOM3D7L6vDROirrduA5rH35o5XLX4Fz2KmQ,0,153,146,False,False,True,False
101e2b16-4656-4e66-9a02-f475cc47af84,RANKED_SOLO_5x5,DIAMOND,IV,JAQGTUzNgqPpuaIbvRu31EGJNSSRyzfynhQep87-t7aaCxY,UTkqyq-FSQp7K_3yJ_GAil5JJDy8-urC0lujFyLw5_NduPyz7YLG2yfX9ETqF7kTymRsJYEZ-Ba-Tg,65,40,33,False,False,False,False
cfc165d6-ef2d-4cc3-9340-e04102f1fc42,RANKED_SOLO_5x5,DIAMOND,IV,Onmi6H2xb1Ltrdc8nTJ6Le1Md9atrFiisWJGu8yJYTCNemM,g09rIrs_DQiEAocZudHknB6F44J7E8Y8R5kGFo704mY7CBgH5gq_3xPDPhH8PV1w45gbWoBQ2LVfFA,0,76,79,False,False,True,False
0a0a2681-b685-41f5-bc3b-d43f029a9a8b,RANKED_SOLO_5x5,DIAMOND,IV,0sGVdQBo9SiCPZ4TIpdIxiygj9n2aHw8E9sTE90sci7fJn4,yEp11dku39MYDkat0M8wxWEp8sWVXrNu7AqamdpupqrdmTDwvfK29uBWDkUt-yPGC5J7tSsTk7TRig,37,31,39,False,False,False,False
9482efd2-ce47-4377-9e9a-98fbaf28bb4a,RANKED_SOLO_5x5,DIAMOND,IV,7HZtRaKfeWTdKwMyIdmfjrhYX0wom-9FXbcRjfjAKnyRt_0,MJnGvgrVGTW8GzjTId0x9Fq_5jJTa-af8ILK8878xwSphsYWFEluqYJ2uF2Im3li_SlNDKgnpiMIKw,67,158,136,False,False,True,True
0d3e2928-1e15-42ac-9a68-ca6826ae6b89,RANKED_SOLO_5x5,DIAMOND,IV,Cw0LHw0c7bL1pG6kbe30u0Mxl1Cvt5P2Y9aIXRosM2FzDtc,lN0xMoQZ4waFlThEK4seZtIvT3QotlQxVZ3sL6o8Y-zosrgoHeSh3TuN2uQHmhvadO8hLvduWqnrXw,8,53,43,False,False,True,False
b1994bf3-45c0-4838-9924-2e4b19acfe5b,RANKED_SOLO_5x5,DIAMOND,IV,Yb9QK03KJWfiUjBej1XwN4lsOTIqi7QOqrbxKbtPIZWq7o0,8gioiB4BvX-n_pJlUt6BeXLFmsLzGSZN2uVDUWxTSdcIfFdaiRGhQia63R6koamHYwaGFLaGPc64QQ,0,34,47,False,False,False,False
7ac62ee1-2616-4371-95e4-5edab16389fa,RANKED_SOLO_5x5,DIAMOND,IV,PMrkYxnpU2_GcDxSOydkOXqtjbkxtuIndX9PZjKHjNo3KlQ,f51G-_PkdLdHNKKB7njCKxo8qs9zToww3YrciswyK3SStnyoC5UX5RR7E25o9ey3Np7FYPmiZM2Zlg,82,33,31,False,False,False,False
101e2b16-4656-4e66-9a02-f475cc47af84,RANKED_SOLO_5x5,DIAMOND,IV,xjmT0h6BQl8NJIG_P8ey5ThA9yKU6GEJE0xeOhykzPfYoyI,ReVCmpQH6e3ejr2gO5ZPkDkUi1wHUlgWd2XiaAj56asXVwP6lHiS7RWrd7SY4EOsETzKVXRZOW5UZw,25,19,24,False,False,False,False
570273db-bc5c-4574-a4e7-153281d8c4aa,RANKED_SOLO_5x5,DIAMOND,IV,yE3K5VVQda_eZ3Dps90nkbLjEe0d9cy6CmE0fKZk2l4GRkk,yfGAGXS9OX6d6orHq2seIhrlOGL9aAMk3bSltem2uBpgx0GEAsLGr6YmV9rYx3brHmNUwGg7xpK08w,20,26,29,False,False,False,False
b1994bf3-45c0-4838-9924-2e4b19acfe5b,RANKED_SOLO_5x5,DIAMOND,IV,4jGiPa8sbqGIezmCjjb05L3OURZoBdbX0REJLDA6YJBP-rI,eCeFbWGVKZcPx1KoePvIQ9czkHVkZQ1-tpKjyxXaSYozs_0XPx20a_39G_KlNXpMr0QmUe6H4PGm1w,70,37,38,False,False,False,False
f47af746-39e2-4036-9659-b37c25586fa3,RANKED_SOLO_5x5,DIAMOND,IV,p-sI0LgvTzGCIVCudlOUkkUtTQouoEtw77JoIqfyvl-ikNI,BaTnjesS8AcpXOrKFh3s7ohsM1AFSBa7OUKO45h09BqZEVJYNfzpXeMQSrwcBXbkYhxJgBrrHJ4mhA,26,15,11,False,False,False,False
476d524a-a3ad-4020-8d49-d5a7108a3fa0,RANKED_SOLO_5x5,DIAMOND,IV,UlkzYrqP5gIYWFVMsysxhQxwg7lo_oKPVzCrh-WYSTBqJG0,wTwqB8yWagLImO8ZSPExKTlPxywWVc2NWZxHmkePBUDBgnjLDu6iCOgksYGAfgaY_mocTM5LdSIUIA,53,35,27,False,False,True,False
9ed04670-8151-42fc-b3ae-be5ef5435d6d,RANKED_SOLO_5x5,DIAMOND,IV,azShIMz4su0HGMdLFIIM3ip9kIMNp21gPOVOONZ-E_U1xtM,A60OQ3M-npmfRrirBnM9XiLRQCIUapXAX_F4B5oExZlAPUJ4h816Z3C9R8p9SQLhDQN_73JSwnYFtA,10,2,3,False,False,False,False
ad22b9f1-1e49-4f63-ad15-c44b8e707ec3,RANKED_SOLO_5x5,DIAMOND,IV,WtgfBqUZXcSM7UyCue04P7xHFiMy7njSPJeIdZcdvvaNY04,GZZ-S6QqzW5BBuzd-7Ej8Xm4zURNzM6Ql8d96S4CfyvEzkQHVjqZxJg0MJSpChoJvZ0QPaDBP6bgrQ,58,27,29,False,False,False,False
f9b681f4-7d4d-4baa-b428-a3eefca25eaf,RANKED_SOLO_5x5,DIAMOND,IV,mCQdMMFjbO2WvBe07lvbET1EBok29PnFXBHQlDxqpgV0maI,7XikqzUKYdlWYdlylZUMORG8RYkmtWNSgjXtYT1qvZjYxJX1NzSIfCeAvvtjdcAH8rKeRLiO1g833Q,0,161,147,False,False,False,False
615f2285-6696-4697-9d13-c0499f3054fd,RANKED_SOLO_5x5,DIAMOND,IV,fgNcmQuQpsu6p7cze5MJNTdw_nxeXOEq5LW7O4qBy1DIZGM,1UUyjDk5Yp29GPw9HkRLHZV9Y417IxgMdP4G2xXnkzdA3JX6ib41h59VsG0rihrJI-pffT9J_hxBNg,20,63,49,False,False,True,False
5dd24894-98b6-4fa4-b7c3-27233db31a3c,RANKED_SOLO_5x5,DIAMOND,IV,3plXIfWURLyt2Ubji54ndCJ8iMGZZNLENBI2YIXtkV5wB1o,wuFBO6MiZSByvyL5KsklUMQu0ZUa7Btkb2VxZ2y62m1sQUZVLsYh7MM6Me8-aoJ2c55uq-w5fk_40g,15,3,8,False,False,False,False
f67fdb09-fbbb-4470-861c-6133b54e3f1d,RANKED_SOLO_5x5,DIAMOND,IV,Gdy7sS5izJRPvzuEH1S3ZoDiYnLlI5gAU9xu_0qSb9bvaWI,Iw48_ieA8RTC06OAoDvM6CT-5DfmUgg14uo96AqoZM0j2WN-2y-SmmLIJwzKJlpz_XASjWZSKPbagQ,8,26,27,False,False,False,False
707ae0dd-22bc-4615-a1e4-14f8d94e0799,RANKED_SOLO_5x5,DIAMOND,IV,qOAKKVx0njp7cx8h1cy0G9Z9hGNq56ncqkgPTemWSR4kZlQ,McpeukDEuXmxxqOG_Wztb_7ifwThzN4qU_Y3paaGVeZIc7hIF_oRCRsVV0IL8LEZ7ILAeaWYVj4brw,29,33,28,False,False,False,False
a24bf00c-d8a2-4b91-b287-450db87a29e8,RANKED_SOLO_5x5,DIAMOND,IV,sBlT6Knf5WxeuC96e2LimLE0Dv8QtFTG8nlJ0Zq-k5AFmMM,SblKvnF20BAH40r9MvkJ1iM4Y18V4iokVNUV9OLPw_jjuIEMCfvLTBAmWFWcAQ82Hbf1SEd06ZwULw,98,90,83,False,False,False,False
42e0658f-3294-4750-8aa6-f82c010f0dc0,RANKED_SOLO_5x5,DIAMOND,IV,Np71QQwh2PIAyxpzNFuRlyPM474mrHP9Hpz5SucUN1OJAGs,qbn_yP7BvT88vXPMvFh6y5TU2i3nhpVG8szmlFqWDZaKJ-ZEIsKMSLi4IId5BoNG6oHMYZiasl8STg,0,57,66,False,False,False,False
53214930-81b6-4e86-8d18-4b1b90a32053,RANKED_SOLO_5x5,DIAMOND,IV,Kw0gXEAx6ZwrA2XHoZOKEcM_Po9XCUan2xVWuSPBn30wp20,uibIp0VntLrBOj4AkgYzLSSGAoppds_Y05oISs71ZkAQz0u17GLH-2Pyk87rfAcFR6iy5w-zGzgZWA,6,38,41,False,False,False,False
f1bf5db3-483f-4588-bee1-3d402b6db886,RANKED_SOLO_5x5,DIAMOND,IV,ODDCIOSD9hZucgNtXrdTAvELSOwpFlCdLMSuVA0wNG0jkyA,GDU_4ZNGuOVSK4ViwbyyZYHrLRPxqu3AIymZ4ZEbc2mJMqumAmAM3nNBV4YnaaBhG8e3RR_5gSdEnw,39,28,33,False,False,False,False
a6393705-bb2d-493c-be1e-651db6b75a8b,RANKED_SOLO_5x5,DIAMOND,IV,uVCCgLff3ZXKKfcFx9tZobmeUIbCvw4Ntc0baJofVZF75TA,YqrZDoFY9p2SyCFc-IxaKDywoKq3WRQ_BOm8DgrSLaZwkjDM4d9V-xVgcOmK_i9d8dB1kR64pRgarQ,62,16,29,False,False,True,False
2e73844a-20b2-4070-86aa-11c9c63699ef,RANKED_SOLO_5x5,DIAMOND,IV,-W6YmLFilmsJfwOFWTKcO_aUHkEe3x94xUgko-TQ2EYm3D0,6oF7scnL7JnvltPbW2oQ0zGOkY6hTRgXr1vwlFNbYYIDLHOt_HdfWZazuzhGaQY3HIbwK3MycF9VOA,50,53,55,False,False,True,False
82108bd9-216d-4739-9d1e-d43cba2cc34e,RANKED_SOLO_5x5,DIAMOND,IV,M2VPoEmWqjce1TrXcBZ8Ywouu2TDntUDLqCiCi_R21V5ER0,Of8QWawKWWmWvdNerN0u4oQOmgc5xGFxvHNdS6fs_PePzT3c05lxmZVmm3wsH6kX1Jas1je8ZC54kw,84,53,38,False,False,False,False
3c52c90b-dbf1-46b7-972f-448caa616afd,RANKED_SOLO_5x5,DIAMOND,IV,VQ-hnKYpYkIvZhmluwyDybbymuPvopSNxz7BOhqRUh6JhpI,U5ZsWqFqQXorW7BSSrqq7lJhaBN-c3HLd_P9oSOHWU1aS5A8TNuHJUhf9NQhNiGGpX5CsyqfPdfxHQ,61,18,9,False,False,False,False
43556a89-fa59-453b-a385-da3f56f7822d,RANKED_SOLO_5x5,DIAMOND,IV,qEodnjPygv6IL6EF03pq00Pi1PDz3BzvqJVoFTDdP762tYQ,xbWUN-pCoyOZ9JKOLxyboj5WmTJYekrdtMDntsXaqZ6mh-USXyrjJznMMn38FuSWgsv_xMeziPxN4g,21,33,35,False,False,False,False
